"Plot Title: G9903341_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Y Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","Z Accel, g (LGR S/N: 9903341, SEN S/N: 9903341)","End Of File (LGR S/N: 9903341)"
377,04/25/15 05:31:20 AM,-0.225,-0.075,0.900,
378,04/25/15 05:31:25 AM,-0.150,-0.125,0.975,
379,04/25/15 05:31:30 AM,0.150,-0.125,1.050,
380,04/25/15 05:31:35 AM,0.050,-0.075,1.025,
381,04/25/15 05:31:40 AM,-0.150,-0.150,0.950,
382,04/25/15 05:31:45 AM,-0.150,-0.125,0.950,
383,04/25/15 05:31:50 AM,-0.025,-0.125,1.000,
384,04/25/15 05:31:55 AM,-0.225,-0.125,1.000,
385,04/25/15 05:32:00 AM,0.025,-0.150,1.050,
386,04/25/15 05:32:05 AM,-0.075,-0.125,0.975,
387,04/25/15 05:32:10 AM,-0.075,-0.175,0.975,
388,04/25/15 05:32:15 AM,0.025,-0.125,0.975,
389,04/25/15 05:32:20 AM,0.025,-0.175,1.050,
390,04/25/15 05:32:25 AM,0.050,-0.150,1.050,
391,04/25/15 05:32:30 AM,-0.150,-0.125,0.975,
392,04/25/15 05:32:35 AM,0.175,-0.150,1.075,
393,04/25/15 05:32:40 AM,-0.025,-0.200,1.025,
394,04/25/15 05:32:45 AM,0.050,-0.125,1.050,
395,04/25/15 05:32:50 AM,-0.125,-0.125,0.950,
396,04/25/15 05:32:55 AM,-0.175,-0.100,0.950,
397,04/25/15 05:33:00 AM,-0.075,-0.125,1.050,
398,04/25/15 05:33:05 AM,0.025,-0.125,1.025,
399,04/25/15 05:33:10 AM,-0.150,-0.075,1.000,
400,04/25/15 05:33:15 AM,0.000,-0.075,1.000,
401,04/25/15 05:33:20 AM,-0.050,-0.100,0.975,
402,04/25/15 05:33:25 AM,-0.125,0.000,1.025,
403,04/25/15 05:33:30 AM,-0.150,-0.150,0.950,
404,04/25/15 05:33:35 AM,0.150,-0.075,1.050,
405,04/25/15 05:33:40 AM,-0.075,-0.025,1.025,
406,04/25/15 05:33:45 AM,-0.175,-0.125,0.950,
407,04/25/15 05:33:50 AM,-0.125,-0.125,0.950,
408,04/25/15 05:33:55 AM,-0.175,-0.100,0.975,
409,04/25/15 05:34:00 AM,-0.075,-0.025,1.000,
410,04/25/15 05:34:05 AM,-0.050,-0.125,1.025,
411,04/25/15 05:34:10 AM,-0.225,-0.125,0.925,
412,04/25/15 05:34:15 AM,-0.025,-0.225,1.025,
413,04/25/15 05:34:20 AM,-0.050,-0.125,1.000,
414,04/25/15 05:34:25 AM,-0.275,-0.175,0.975,
415,04/25/15 05:34:30 AM,0.000,-0.200,1.050,
